Id,SalePrice
1461,114111.25593272224
1462,187494.2517050836
1463,164735.3845393936
1464,186124.35001824523
1465,217027.68597839132
1466,163056.88597088342
1467,156755.89745119336
1468,154829.89468700602
1469,203394.7826044517
1470,97008.54596970574
1471,194207.83809735219
1472,82080.41034416843
1473,81552.77847620787
1474,162545.3232265347
1475,128684.20704802504
1476,345897.3345666749
1477,258997.44598434202
1478,298874.5902864719
1479,302397.04881802184
1480,436000.3346520053
1481,332151.6576337049
1482,248083.6620158229
1483,187840.65913610026
1484,188763.60448487155
1485,168779.66323147132
1486,207690.09962394735
1487,340571.99245183135
1488,247485.9420114273
1489,202636.02860538306
1490,224282.02837842022
1491,199286.99655854393
1492,116275.3252686485
1493,172640.19538360345
1494,280526.03026000486
1495,288659.8552375057
1496,246046.88492894173
1497,216778.25763280294
1498,180299.93042032555
1499,170327.4039755292
1500,166954.17574210197
1501,183064.1542808431
1502,169107.88530803856
1503,260043.54097660462
1504,241683.48250503838
1505,230602.0447802259
1506,214259.69978321827
1507,252913.45546464383
1508,198407.1390104391
1509,163372.91333725856
1510,134987.37607831147
1511,127931.72566031979
1512,174888.97538144537
1513,145143.44173400808
1514,162396.72577198502
1515,229240.23119548277
1516,141747.54435365833
1517,183933.18114698026
1518,161145.93284797564
1519,198495.20380068198
1520,121787.82312042912
1521,128738.08196057606
1522,173572.47424749384
1523,106354.26097325457
1524,107185.43321985094
1525,101006.73130593624
1526,111759.32505885523
1527,109768.91189223697
1528,130232.19139222422
1529,137659.45504922274
1530,180500.57265116443
1531,127371.24018928269
1532,91325.74574567989
1533,160576.69973653625
1534,109066.65239415847
1535,161521.9892268011
1536,106173.16094643471
1537,54717.27973924819
1538,183964.0175639065
1539,223169.87750666222
1540,131593.03307933285
1541,146066.97452758747
1542,141862.39976135275
1543,215455.88141165278
1544,87089.56248636678
1545,101750.86396088824
1546,124566.38913608139
1547,131822.33738993283
1548,129240.30405777047
1549,106788.43531276594
1550,127448.79947261373
1551,115298.35292554821
